EU	ue
Fred	fred
Funk	funk
Sven	lars
Struver	struve
Alexander	alexander
Cejka	kopp
Hal	hal
Sutton	edgerton
Tom	tom
73	ob
D.A.	geese
Weibring	magnussen
Brad	brad
Bryant	bryant
Craig	craig
Parry	parry
Stewart	stewart
Ginn	spoon
Corey	corey
Pavin	lemieux
Stadler	stadler
O'Meara	brennan
Couples	casadas
74	hj
Stankowski	kaminski
Costantino	paolo
Rocca	martino
Italy	italia
75	erasmo
Jim	jim
Furyk	brett
Satoshi	yoshihiro
Higashi	nishi
Willie	blackie
Wood	mimbre
Shigeki	kazama
Maruyama	maruyama
McCarron	duffy
77	tor
Wayne	wayne
Westner	decker
Schneiter	berrer
79	gro
Watson	watson
Seiki	seiko
Okuda	kawakami
SOCCER	fútbol
GLORIA	gloria
BISTRITA	baník
BEAT	ganarle
2-1	●
F.C.	nemo
VALLETTA	valletta
Gloria	gloria
Bistrita	mitrovica
Romania	rumania
beat	ganarle
halftime	bowl
1-1	ː
Valletta	valeta
Malta	malta
Cup	copa
winners	ganadores
match	match
leg	pierna
preliminary	preliminar
Scorers	anotadores
Ilie	ilie
Lazar	lazar
32nd	y
Eugen	eugen
Voica	mitu
84th	ath
La	venise
Gilbert	gilbert
Agius	platini
24th	ath
Attendance	asistencia
4-2	prod
aggregate	goleando
qualified	terceros
REUTER	reuter
HORSE	caballo
RACING	automovilismo
PIVOTAL	crucial
ENDS	termina
25-YEAR	pnud/
WAIT	esperar
TRAINER	entrenador
PRESCOTT	prescott
YORK	york
Sir	sir
Prescott	prescott
landed	aterrizó
victory	victoria
25	—no
trainer	entrenado
sprinter	atleta
Pivotal	crucial
100-30	pasaje
chance	oportunidad
Nunthorpe	penzance
Stakes	stakes
three-year-old	dos
partnered	asoció
veteran	veterano
George	george
Duffield	neilson
snatched	soltó
short	corto
head	cabeza
verdict	veredicto
stride	ritmo
deny	negar
Eveningperformance	glspp
16-1	nemo
trained	entrenado
Henry	henry
Candy	candy
ridden	ganada
Chris	matt
Rutter	beecham
Hever	gilead
11-4	ere
Prix	prix
l	l
Abbaye	abbaye
winner	ganador
Longchamp	maréchal
finished	finalizó
third	tercer
lengths	longitudes
away	lejos
7-4	fug
Mind	mente
Games	juegos
fourth	tercer
Royal	royal
Ascot	ascot
may	relistada
now	ahora
aimed	objetivo
season	temporada
sprint	sprint
race	carreras
reluctant	renuente
go	ir
enclosure	habitáculos
result	resultado
photo-finish	puntuar
Twenty-five	seis
never	nunca
so	realmente
thought	pensaba
better	mejor
wait	esperar
bit	poquito
longer	sólo
sad	sad
am	am
godfather	padrino
daughter	hija
Like	parecido
Jack	jack
Berry	berry
gone	salido
search	búsqueda
success	éxito
around	alrededor
profession	profesión
I`m	hallo
disappointed	decepcionado
feel	siento
suicidal	suicida
well	así
furlongs	millas
metres	metros
just	nada
quicken	terceros
NUNTHORPE	huddersfield
STAKES	stakes
RESULTS	resultados
Result	resultado
two-year-olds	años
upwards	atrás
run	run
five	cinco
km	km
1.	bozo
2.	rr
3.	ob
Jason	jason
Weaver	miller
Eight	ocho
ran	corrió
Favourite	favorito
4th	ath
Distances	distancias
1-1/4	ː
Winner	ganador
owned	propiedad
Cheveley	suffolk
Park	park
Stud	haras
Newmarket	islington
Value	valor
72,464	inf
sterling	troy
112,200	ptt
TENNIS	tenis
TOSHIBA	toshiba
CLASSIC	classic
CARLSBAD	carlsbad
California	california
1996-08-21	lacayo
Results	resultados
450,000	ivb
Toshiba	toshiba
Classic	classic
tennis	tenis
tournament	torneo
prefix	prefijos
denotes	denota
seeding	plántulas
Second	segundo
Arantxa	arantxa
Sanchez	hernandez
Vicario	hingis
Spain	españa
Naoko	chihiro
Kijimuta	sawamatsu
1-6	ː
6-4	ciap
6-3	#en
4	ruf
Kimiko	kimiko
Date	fecha
Yone	iwasaki
Kamio	kotaro
6-2	ante
7-5	sat
Sandrine	sandrine
Testud	testud
7	tor
Sugiyama	sugiyama
4-6	ruf
8	tojo
Nathalie	nathalie
Tauziat	tauziat
Shi-Ting	ikaw
Wang	wang
HAMLET	aldea
CUP	copa
COMMACK	loudoun
York	york
Waldbaum	horwitz
Hamlet	aldea
Michael	michael
Chang	chang
Sergi	sergi
Bruguera	nadal
Joyce	joyce
3	loc
Richey	richey
Reneberg	waske
3-6	ob
Martin	martin
Damm	dam
Czech	checa
Republic	república
6	ob
Younes	younes
El	cherif
Aynaoui	aynaoui
Morocco	marruecos
5-7	þ
3-0	svi
retired	retirado
Karol	karol
Kucera	seifert
Slovakia	eslovaquia
Hicham	hicham
Arazi	hadad
7-6	‐
DALGLISH	gerrard
SAD	triste
OVER	entre
BLACKBURN	hull
PARTING	despidiéndose
Kenny	kenny
Dalglish	clough
spoke	habló
sadness	tristeza
leaving	dejando
club	club
premier	premier
league	liga
title	título
1994-95	kr
parted	ficharon
mutual	mutuo
consent	consentimiento
ex-manager	manager
confessed	confesó
taking	tomando
division	división
local	local
newspaper	periódico
holiday	vacaciones
same	mismo
opinion	opinión
albeit	aunque
little	little
If	si
opened	abrió
my	tengo
mouth	boca
stayed	permaneció
way	maneras
let	volveremos
get	sacar
job	trabajo
conclusion	conclusión
then	luego
past	pasado
15	ia
director	director
football	fútbol
CRICKET	críquet
COUNTY	condado
CHAMPIONSHIP	campeonato
Close	cercano
play	jugar
scores	puntuaciones
four-day	cuatro
County	condado
Championship	campeonato
cricket	críquet
matches	champions
Weston-super-Mare	mare
Durham	durham
326	hiram
D.	coz
Cox	cox
S.	ː
Campbell	campbell
;	ob
G.	desmilitarizada
7-73	hj
Somerset	somerset
236-4	uber
M.	rr
Lathwell	beattie
85	pentágono
Firsy	primero
Colchester	colchester
Gloucestershire	leicestershire
280	tojo
J.	eniac
Russell	russell
63	hirschfeld
A.	fai
Symonds	symonds
52	●
Cowan	cowan
5-68	kiki
Essex	essex
72-0	nn
Cardiff	cardiff
Kent	kent
128-1	mixto
Walker	walker
59	landívar
Fulton	fulton
v	v
Glamorgan	glamorgan
Leicester	leicester
Leicestershire	leicester
343-8	hj
P.	exa
Simmons	simmons
108	uber
Nixon	nixon
67	​​de
Hampshire	hampshire
Northampton	northampton
Sussex	sussex
368-7	tb
N.	ob
Lenham	waltham
145	yal
V.	estai
Drakes	cabrillo
Wells	wells
51	tui
Northamptonshire	northamptonshire
Trent	trent
Nottinghamshire	leicester
392-6	emu
Archer	archer
143	eo
Dowman	evans
107	flavio
Surrey	sutton
Worcester	worcester
Warwickshire	warwickshire
255-9	—no
Giles	giles
57	ivb
W.	ob
Khan	khan
Worcestershire	leicestershire
Headingley	murrayfield
Yorkshire	yorkshire
305-5	vd
C.	k
White	blanca
Moxon	liddell
Vaughan	vaughan
Lancashire	lancashire
ENGLAND	inglaterra
V	v
PAKISTAN	pakistán
FINAL	final
TEST	test
SCOREBOARD	bocina
Scoreboard	megafonía
final	final
Oval	oval
innings	innings
Atherton	atherton
b	b
Waqar	salim
Younis	yunis
Mushtaq	jalal
Ahmed	ahmed
44	aia
Hussain	ghulam
c	c
Saeed	saeed
Anwar	salim
Thorpe	thorpe
lbw	koufax
Mohammad	mohammad
Akram	salim
54	vma
Crawley	ipswich
94	miembro_de
Knight	caballero
17	meco
Lewis	lewis
Wasim	salim
I.	adc
Salisbury	salisbury
Extras	extras
lb-11	lb
w-1	globus
nb-8	nba
wickets	goles
278	uo
Fall	caída
1-64	ː
2-85	–un
3-116	heck
4-205	–un
5-248	●
6-273	agg
To	a
bat	bastón
R.	yoyo
Croft	croft
Cork	cork
Mullally	brennan
Bowling	bowling
date	fecha
25-8-61-1	g/
20-6-70-2	ol
12-1-41-1	ː
27-5-78-2	oxy
Aamir	ghulam
Sohail	saeed
6-1-17-0	morbo
Ijaz	mohd
Inzamam-ul-Haq	hatta
Salim	salim
Malik	malik
Asif	salim
Mujtaba	mirza
Moin	bah
Akam	amal
FERGUSON	ferguson
BACK	atrás
IN	en
SCOTTISH	escocés
SQUAD	equipo
AFTER	después
MONTHS	meses
GLASGOW	glasgow
Everton	tottenham
Duncan	duncan
Ferguson	ferguson
scored	anotó
Manchester	manchester
picked	seleccionado
Scottish	escocés
squad	equipo
20-month	mes
Glasgow	glasgow
Rangers	rangers
striker	centrocampista
Ally	aliado
McCoist	lampard
another	otro
man	hombre
form	forma
hat-tricks	trucos
four	cuatro
named	nombrada
qualifier	clasificatoria
Austria	austria
Vienna	viena
served	servido
jail	cárcel
head-butting	entrepierna
opponent	oponente
Scotland	escocia
caps	futbolistas
December	enero
1994	ː
Brown	thayer
've	sandy
watched	visto
bang	bang
great	gran
scoring	anotando
moment	momento
Celtic	celta
Jackie	jackie
McNamara	mccarthy
successful	exitoso
under-21	bajo
earns	ganará
call-up	llamar
100-2	​​de
LUNCH	almuerzo
ON	en
DAY	día
THIRD	tercer
lunch	almuerzo
KEANE	keane
SIGNS	signos
FOUR-YEAR	año
CONTRACT	contrato
WITH	con
MANCHESTER	manchester
UNITED	estados
Ireland	irlanda
midfielder	centrocampista
Roy	roy
Keane	keane
signed	firmó
four-year	año
F.A.	gru
champions	campeones
deal	contrato
game	juego
delighted	entusiasmado
Alex	alex
CANADIAN	canadiense
OPEN	abierto
TORONTO	toronto
Canadian	canadiense
Open	abierto
Daniel	daniel
Nestor	nestor
Canada	canadá
Thomas	thomas
Muster	batirse
Mikael	mikael
Tillstrom	lindstrom
Goran	goran
Ivanisevic	matosevic
Croatia	croacia
6-7	ob
3-7	fs
Ferreira	guilherme
Jiri	jiri
Novak	novak
Marcelo	marcelo
Rios	rios
Chile	chile
Kenneth	kenneth
Carlsen	carlsen
Denmark	dinamarca
MaliVai	meligeni
Corretja	corretja
Todd	casey
Renzo	renzo
Furlan	furlan
7-3	ciap
Philippoussis	philippoussis
Marc	marc
Rosset	lacoste
Switzerland	suiza
8-6	mensa
9	
Cedric	cedric
Pioline	pioline
Gregory	gregory
Carraz	córdova
7-1	nemo
Patrick	patrick
Rafter	rafter
11	þ
Alberto	alberto
Berasategui	berasategui
6-1	terceto
Petr	pavel
Korda	korda
Francisco	francisco
Clavet	clavet
Vacek	vacek
13	ob
Stoltenberg	stoltenberg
13-11	●
Woodbridge	woodbridge
Sebastien	sebastien
Lareau	lareau
O'Brien	farrell
Byron	byron
Black	black
Zimbabwe	zimbabue
7-2	meco
Bohdan	bohdan
Ulihrach	ulihrach
Andrea	andrea
Gaudenzi	gaudenzi
Henman	lleyton
Woodruff	woodruff
walkover	semifinales
MILLNS	rennie
BOLAND	horan
CAPE	cape
TOWN	localidad
provincial	provincial
Boland	paddy
fast	rápido
bowler	bateador
Millns	leith
toured	giras
1992/93	●
replaces	reemplaza
all-rounder	bateador
Phillip	philip
DeFreitas	neilson
professional	profesional
EUROPEAN	europea
WINNERS	ganadores
TIRANA	tirana
Winners	ganadores
qualifying	clasificatoria
soccer	fútbol
Tirana	tirana
Flamurtari	ofk
Vlore	vlorë
Chemlon	pfc
Humenne	karlovac
0-0	amm
Lubarskij	grossman
50th	ath
minute	minutos
Valkucak	kari
54th	ath
5,000	inri
win	ganar
Chorzow	zabrze
Ruch	ruch
Llansantffraid	conwy
Wales	gales
1-0	papi
Arkadiusz	maciej
Bak	bak
1st	est
55th	ath
Arwel	glyn
47th	ath
Miroslav	miroslav
62nd	y
63rd	gerken
6,500	oe
Larnaca	larnaca
AEK	aek
Cyprus	chipre
Kotaik	dera
Abovyan	armavir
Armenia	armenia
2-0	gg
Zoran	nikolić
Kundic	wurm
28th	ath
Klimis	graeca
Alexandrou	alexandros
41st	est
Milenko	nikolić
Kovasevic	ilija
60th	ath
penalty	penales
Koprinovic	nikolić
82nd	y
Pavlos	nikolaos
Markou	gre
5-1	þ
Siauliai	kaunas
Kareda	satu
Lithuania	lituania
Sion	sion
agrregate	concentrador
Vinnytsya	kharkiv
Nyva	chernomorets
Tallinna	rossiya
Sadam	sadam
Estonia	estonia
3,000	ob
Aggregate	medirse
score	score
2-2	●
goals	goles
rule	regla
Bergen	bergen
Brann	brann
Norway	noruega
Shelbourne	anfield
Mons	namur
Ivar	ivar
Mjelde	oslo
10th	ath
Ove	ove
Pedersen	pedersen
72nd	y
Rutherford	rutherford
5th	ath
2,189	cicero
5-2	●
Sofia	sofia
Levski	levski
Bulgaria	bulgaria
Olimpija	olimpija
Slovenia	eslovenia
Scorer	anotador
Ilian	hristo
Simeonov	ivanov
58th	ath
25,000	brut
4-3	sfx
penalties	penales
Vaduz	vaduz
Liechtenstein	liechtenstein
RAF	raf
Riga	riga
Latvia	letonia
Daniele	daniele
Polverino	raimondo
90th	ath
Agrins	ríen
Zarins	pape
Luxembourg	luxemburgo
Varteks	željezničar
Varazdin	razgrad
Drazen	niko
Beser	zer
Miljenko	marko
Mumler	kramer
78th	ath
Jamir	rashad
Cvetko	radovan
87th	ath
Torshavn	tórshavn
Havnar	tórshavn
Boltfelag	úrvalsdeild
Faroe	feroe
Islands	islas
Dynamo	dínamo
Batumi	batumi
Georgia	georgia
0-2	auger
9-0	ro
Prague	praga
Sparta	sparta
Glentoran	hibernian
Northern	norte
4-0	ac
Gunda	kuno
26th	ath
Lumir	miro
Mistr	arr
19th	ath
Horst	horst
Siegl	wenzel
48th	ath
80th	ath
Zdenek	zdeněk
Svoboda	svoboda
76th	ath
Gabriel	gabriel
86th	ath
10-1	brindis
Edinburgh	edimburgo
Hearts	corazones
Star	estrella
Belgrade	belgrado
Yugoslavia	yugoslavia
Dave	dave
McPherson	mcpherson
44th	ath
Vinko	radovan
Marinovic	nikolić
59th	ath
15,062	oi
Rishon-Lezion	kiryat
Hapoel	maccabi
Ironi	ironi
Constructorul	universitatea
Chisinau	chisinau
Moldova	moldavia
3-3	ob
Anjalonkoski	lauri
MyPa-47	dropbox
Karabach	schwarzenberg
Agdam	sujumi
Azerbaijan	azerbaiyán
Mypa-47	ebay
Skopje	skopje
Sloga	budućnost
Jugomagnat	mladost
Macedonia	macedonia
Kispest	újpest
Honved	honvéd
Hungary	hungría
Add	añado
Rishon	kiryat
Moshe	moshe
Sabag	sapag
Nissan	mazda
Kapeta	mati
Tomas	marcos
Cibola	cíbola
Constructorol	constructo
Sergei	sergéi
Rogachev	sokolov
42nd	y
Gennadi	gennadi
Skidan	transiberiano
1,500	iam
GOTHENBURG	gotemburgo
PUT	poner
FERENCVAROS	intertoto
OUT	metieron
EURO	euro
BUDAPEST	budapest
IFK	ifk
Gothenburg	gotemburgo
drew	atrajo
Ferencvaros	honvéd
Champions	campeones
tie	desempate
played	jugó
4-1	nemo
Ferenc	ferenc
Horvath	lederer
15th	ath
Andreas	andreas
Andersson	lind
9,000	cfp
BRAZILIAN	brasileño
RIO	rio
DE	bande
JANEIRO	janeiro
midweek	dominical
Brazilian	brasileño
championship	campeonato
Bahia	bahia
Atletico	atletico
Paranaense	coritiba
Corinthians	corinthians
Guarani	guarani
Coritiba	coritiba
Mineiro	mineiro
Cruzeiro	mineiro
Vitoria	vitoria
Flamengo	flamengo
Juventude	juventude
Goias	mirim
Sport	deporte
Recife	recife
Gremio	malaver
Bragantino	figueirense
Palmeiras	palmeiras
Vasco	cristóvão
da	da
Gama	portugueses
Portuguesa	união
Parana	parana
NEWCOMBE	newcombe
PONDERS	enteran
HIS	su
DAVIS	davis
FUTURE	futuro
SYDNEY	melbourne
captain	capitán
Newcombe	newcombe
signalled	significó
resignation	renuncia
loses	pierde
Wimbledon	wimbledon
champion	campeón
coach	entrenador
Tony	tony
Roche	roche
determined	determinar
events	eventos
Split	separarse
lose	perder
look	ver
giving	dándole
someone	alguien
else	nada
Sydney	melbourne
Telegraph	telegraph
world	mundial
clay	arcilla
20-22	adj
Under	bajo
leadership	liderazgo
relegated	descendido
elite	élite
26-time	tiempo
slipped	cayó
rank	rango
Since	ya
Neale	cooke
Fraser	fraser
tandem	tándem
doubles	dobles
partner	pareja
wins	gana
losses	pérdidas
selected	seleccionado
semifinalist	semifinalista
Olympic	olímpicos
Woodforde	woodforde
Croatians	croatas
boasts	posee
conceded	encajó
hard-pressed	toynbee
Croatian	croata
breath	aliento
absolute	absoluta
best	mejor
described	describió
toughest	mejores
faced	enfrentó
1986	ob
beaten	golpeado
finalists	finalistas
ago	milenios
guidance	asesoramiento
BADMINTON	bádminton
MALAYSIAN	malayo
KUALA	kuala
LUMPUR	kuala
Malaysian	malasia
badminton	bádminton
Men	hombres
singles	singles
9/16	falo
Luo	yao
Yigang	rong
Hwang	hwang
Sun-ho	kamisama
Korea	corea
15-3	sat
15-7	encabezamiento
Wong	yuen
Malaysia	malasia
Abdul	abdul
Samad	aziz
Ismail	ismail
16-18	dare
15-2	sat
17-14	uber
Kantharoopan	lakshmi
3/4	torch
Jeroen	jeroen
Van	van
Dijk	dijk
Netherlands	holanda
15-11	sat
18-14	salvoconducto
Wijaya	jaya
Indra	indra
Indonesia	indonesia
Pang	pang
Chen	chen
15-6	encabezamiento
6-15	navi
Hu	hu
Zhilan	zhen
Nunung	gunung
Subandoro	doro
5-15	/i
18-15	/i
Hermawan	yani
Susanto	ignacik
Fung	yuen
Permadi	batu
15-8	sat
15-12	mayor»
Women	mujeres
2nd	y
Cindana	bersama
11-3	real»
1ama	ika
Margit	margit
Borg	borg
11-6	lux
Sun	sun
Jian	liang
Marina	marina
Andrievskaqya	ruslan
11-8	gedeón
11-2	scat
Meluawati	dari
Chia	chia
Fong	yuen
11-1	manu
Gong	gong
Zhichao	yao
Liu	liu
Lufung	linke
6-11	
11-7	rv
Zeng	cheng
Yaqiong	hsun
Li	li
Feng	feng
Zealand	zelanda
11-9	mux
Christine	christine
Magnusson	magnusson
Ishwari	lakshmi
Boopathy	priya
10-12	nei
Zhang	zhang
Ning	ning
Olivia	kate
REVISED	revisada
MEN	hombres
'S	rivals
DRAW	visitante
NEW	nueva
Revised	revisada
draw	tanteo
championships	campeonato
beginning	comienzo
U.S	cisco
Tennis	tenis
Centre	centre
Draw	medirse
Pete	pete
Sampras	sampras
vs.	vs
Adrian	adrian
Voinea	voinea
Magnus	magnus
Larsson	larson
Volkov	volkov
vs	vs
Qualifier	preolímpico
Andrei	andrei
Olhovskiy	olhovskiy
Roberto	roberto
Carretero	manuel
Jordi	manel
Burillo	barrientos
------------------------	-
Jonas	jonas
Bjorkman	sandberg
Christian	cristiana
Rudd	rudd
Rikl	rikl
Sjeng	sijsling
Schalken	schalken
Schaller	schaller
Grant	grant
Stafford	stafford
Guy	guy
Forget	olvida
Fernando	fernando
Meligeni	meligeni
Brazil	brasil
Yevgeny	yevgeny
Kafelnikov	kafelnikov
Chesnokov	chesnokov
Draper	draper
Galo	vilela
Blanco	calero
Johansson	johanson
Hendrik	hendrik
Dreekman	nilsen
Rusedski	rusedski
Medvedev	medvédev
Jean-Philippe	philippe
Fleurian	fleurian
Kroslak	krupa
14	loc
Costa	heredia
Younnes	younes
Shuzo	kimiko
Matsuoka	matsuoka
Doug	doug
Flach	flach
Mats	mats
Wilander	wilander
Haarhuis	haarhuis
Tebbutt	stoltenberg
Jonathan	jonathan
Stark	stark
Bernd	günter
Karbacher	karbacher
Stefan	stefan
Edberg	edberg
Richard	richard
Krajicek	krajicek
Andre	andre
Agassi	agassi
Mauricio	ernesto
Hadad	hadad
Colombia	colombia
Marcos	marcos
Ondruska	ondruska
Felix	felix
Mantilla	mantilla
Carlos	carlos
Moya	román
Humphries	williams
Siemerink	siemerink
Carl-Uwe	carla
Steeb	steeb
Wheaton	wheaton
Kevin	kevin
Kim	kim
Nicolas	nicolas
Lapentti	andreozzi
Ecuador	ecuador
Karim	karim
Alami	alami
Enqvist	enqvist
Stephane	joël
Simian	simian
Guillaume	guillaume
Raoux	jauffret
Filip	stefan
Dewulf	damme
Belgium	bélgica
Knowles	knowles
Bahamas	bahamas
Filippini	filippini
Uruguay	uruguay
Kris	kris
Goossens	henk
Stich	stich
Chuck	chuck
Adams	adams
Javier	javier
Frana	frana
Argentina	argentina
Courier	courier
Grabb	birner
Sandon	sandon
Stolle	robó
Stefano	stefano
Pescosolido	barazzutti
Arnaud	arnaud
Boetsch	boetsch
Pereira	souza
Venezuela	venezuela
Gustafsson	henning
Jeff	jeff
Tarango	tarango
Radulescu	petru
Jared	jared
Palmer	palmer
Hernan	alberto
Gumy	kuerten
Nicklas	nicklas
Kulti	kulti
Jakob	jakob
Hlasek	hlasek
Cecil	cecil
Mamiit	struvay
Vince	vince
Spadea	spadea
Prinosil	prinosil
Carbonell	carbonell
BASEBALL	béisbol
ORIOLES	orioles
DAVEY	davey
JOHNSON	johnson
HOSPITALIZED	hospitalizado
BALTIMORE	baltimore
Baltimore	baltimore
Orioles	orioles
Davey	davey
Johnson	johnson
miss	miss
Seattle	seattle
Mariners	mariners
hospital	hospital
irregular	irregulares
heartbeat	latido
53-year-old	dimaggio
hospitalized	hospitalizado
experiencing	experimentando
dizziness	mareos
treated	tratada
observed	observado
physician	médico
Dr.	dr
William	william
Goldiner	barman
adding	añadiendo
released	lanzado
bench	banquillo
Andy	andy
Etchebarren	leblanc
manage	gestionar
absence	ausencia
Angels	angels
skipper	skipper
Columbia	columbia
Presbyterian	metodista
Hospital	hospital
blood	sangre
clot	coágulo
